id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact,w_cost,w_reliability,w_impact
0,5,8,0,78900.0,0.7874933549172779,0.01699046509042379,1.0,0.0,0.0
1,105,8,50,266900.0,1.0,0.03927924976383508,0.0,1.0,0.0
2,2,33,0,317640.0,0.9686451767584542,0.016839049464904634,0.0,0.0,1.0
3,79,6,0,90780.0,0.9777490460829465,0.019326146019717456,0.52,0.33,0.15
4,92,6,0,96240.0,0.9902280974445765,0.019597828983187463,0.28,0.48,0.24
5,91,8,0,115020.0,0.9968237973938011,0.019079828727257418,0.12,0.67,0.21
6,32,7,0,80640.0,0.8650129047120017,0.01790981261742715,0.4,0.12,0.48
7,90,7,0,105000.0,0.9939357455179192,0.019285075277137315,0.19,0.52,0.29
8,85,6,0,93300.0,0.9846988812526618,0.019454873942504936,0.33,0.38,0.29
9,101,6,0,100020.0,0.995127083051526,0.01977109276235652,0.26,0.61,0.13
10,65,10,0,123300.0,0.9857291834814196,0.018286149051447615,0.14,0.29,0.57
11,70,6,0,87000.0,0.962329804000427,0.019121381304685638,0.36,0.23,0.41
12,21,7,0,76020.0,0.8254279158430762,0.017570335106550972,0.47,0.11,0.42
13,102,7,0,110040.0,0.9980269061107191,0.019505324365592738,0.09,0.74,0.17
14,85,5,0,83700.0,0.9735081831709682,0.019789657057505714,0.41,0.32,0.27
15,100,5,0,90000.0,0.9881175010644921,0.020102518320706315,0.38,0.48,0.14
16,1,8,0,77220.0,0.772492644111267,0.016856614802926072,0.22,0.13,0.65
17,80,5,0,81600.0,0.9661308590415215,0.019676239662661625,0.55,0.26,0.19
18,106,5,0,92520.0,0.9919805180904332,0.020217334189283186,0.31,0.54,0.15
19,87,5,0,84540.0,0.9760181523098947,0.01983367519375419,0.44,0.36,0.2
20,81,8,0,110820.0,0.9924028012549493,0.01889485047379316,0.18,0.44,0.38
21,82,5,0,82440.0,0.969292156513759,0.019722197229618668,0.61,0.29,0.1
22,59,7,0,91980.0,0.9501975456429907,0.018624403062970533,0.25,0.18,0.57
23,86,8,0,112920.0,0.9951417447199373,0.018988769079069108,0.13,0.53,0.34
24,88,6,0,94560.0,0.9874429641444061,0.019517061238784644,0.29,0.4,0.31
25,62,6,0,83640.0,0.9432920454202417,0.018926482605420934,0.36,0.19,0.45
26,113,5,0,95460.0,0.995031349737549,0.020344625373842528,0.24,0.63,0.13
27,22,7,0,76440.0,0.8290982847461701,0.017602539568197753,0.3,0.15,0.55
28,90,5,0,85800.0,0.9794505393732691,0.019898317840844403,0.48,0.39,0.13
29,75,8,0,108300.0,0.9876964436289634,0.01877818110838373,0.2,0.35,0.45
30,80,5,0,81600.0,0.9661308590415215,0.019676239662661625,0.42,0.21,0.37
31,102,5,0,90840.0,0.9895326593010427,0.020141401548503798,0.34,0.5,0.16
32,70,7,0,96600.0,0.9739436121108684,0.018875711792073833,0.27,0.24,0.49
33,58,6,0,81960.0,0.9319087378220923,0.018824080929830157,0.58,0.19,0.23
34,97,7,0,107940.0,0.9967706623656306,0.019415661375332256,0.15,0.62,0.23
35,21,7,0,76020.0,0.8254279158430762,0.017570335106550972,0.46,0.12,0.42
36,87,7,0,103740.0,0.9922917345744398,0.019227211502063586,0.21,0.47,0.32
37,92,5,0,86640.0,0.9814716941841289,0.019940516773220535,0.39,0.41,0.2
38,61,11,0,131220.0,0.9847680203330211,0.018105030828004513,0.12,0.25,0.63
39,84,6,0,92880.0,0.9836879131730475,0.01943382852577654,0.31,0.37,0.32
40,21,7,0,76020.0,0.8254279158430762,0.017570335106550972,0.52,0.14,0.34
41,93,6,0,96660.0,0.9908587607448591,0.019617648552819764,0.26,0.49,0.25
42,77,6,0,89940.0,0.9748670929909534,0.019281891223133393,0.35,0.28,0.37
43,87,8,0,113340.0,0.9955695635020986,0.019007205496392992,0.17,0.56,0.27
44,61,8,0,102420.0,0.9664327388757232,0.018487713220896634,0.23,0.2,0.57
45,86,5,0,84120.0,0.9747631677404315,0.01981176000431993,0.4,0.34,0.26
46,108,5,0,93360.0,0.9929621815519615,0.020254412206282237,0.28,0.58,0.14
47,50,6,0,78600.0,0.906884188362946,0.018608504592309356,0.37,0.16,0.47
48,78,8,0,109560.0,0.9902051638619581,0.018837070467569782,0.19,0.39,0.42
49,81,5,0,82020.0,0.967730820835017,0.019699318597053428,0.49,0.24,0.27
50,99,5,0,89580.0,0.9873579759297325,0.0200828409952412,0.32,0.45,0.23
