id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact,w_cost,w_reliability,w_impact
0,0,8,0,76800.0,0.768732989144389,0.016822447775202868,1.0,0.0,0.0
1,126,17,6,233640.0,1.0,0.01975108491145628,0.0,1.0,0.0
2,0,31,0,297600.0,0.9605970204654617,0.01682244777520286,0.0,0.0,1.0
3,77,6,0,89940.0,0.9748670929909534,0.019281891223133393,0.52,0.33,0.15
4,92,6,0,96240.0,0.9902280974445765,0.019597828983187463,0.28,0.48,0.24
5,101,7,0,109620.0,0.9978286180187812,0.01948762404138461,0.12,0.67,0.21
6,0,8,0,76800.0,0.768732989144389,0.016822447775202868,0.4,0.12,0.48
7,90,7,0,105000.0,0.9939357455179192,0.019285075277137315,0.19,0.52,0.29
8,84,6,0,92880.0,0.9836879131730475,0.01943382852577654,0.33,0.38,0.29
9,111,5,0,94620.0,0.9942375474515269,0.02030895737147711,0.26,0.61,0.13
10,66,10,0,123720.0,0.9868153795212891,0.018304571944988125,0.14,0.29,0.57
11,70,6,0,87000.0,0.962329804000427,0.019121381304685638,0.36,0.23,0.41
12,22,7,0,76440.0,0.8290982847461701,0.017602539568197753,0.47,0.11,0.42
13,98,8,0,117960.0,0.9982993665275957,0.019202752555597384,0.09,0.74,0.17
14,113,4,0,85860.0,0.9857263460966146,0.02079582730608439,0.41,0.32,0.27
15,101,5,0,90420.0,0.9888362211223317,0.02012203787515584,0.38,0.48,0.14
16,0,8,0,76800.0,0.768732989144389,0.016822447775202868,0.22,0.13,0.65
17,81,5,0,82020.0,0.967730820835017,0.019699318597053428,0.55,0.26,0.19
18,106,5,0,92520.0,0.9919805180904332,0.020217334189283186,0.31,0.54,0.15
19,85,5,0,83700.0,0.9735081831709682,0.019789657057505714,0.44,0.36,0.2
20,79,8,0,109980.0,0.9909688536354303,0.018856452173310133,0.18,0.44,0.38
21,74,6,0,88680.0,0.9699366872405619,0.01921419259976383,0.61,0.29,0.1
22,59,7,0,91980.0,0.9501975456429907,0.018624403062970533,0.25,0.18,0.57
23,80,9,0,120000.0,0.9944948316120229,0.01870013905033465,0.13,0.53,0.34
24,87,6,0,94140.0,0.9866025524080844,0.019496488509407117,0.29,0.4,0.31
25,60,6,0,82800.0,0.937715209083061,0.018875711792073833,0.36,0.19,0.45
26,103,6,0,100860.0,0.9958925689151993,0.01980808928348935,0.24,0.63,0.13
27,0,8,0,76800.0,0.768732989144389,0.016822447775202868,0.3,0.15,0.55
28,90,5,0,85800.0,0.9794505393732691,0.019898317840844403,0.48,0.39,0.13
29,76,8,0,108720.0,0.9885515477186314,0.018797936122070667,0.2,0.35,0.45
30,69,6,0,86580.0,0.9602211015237574,0.019097709034999487,0.42,0.21,0.37
31,104,5,0,91680.0,0.9908210006159394,0.020179668661820267,0.34,0.5,0.16
32,74,7,0,98280.0,0.9802852092716878,0.018962232745004918,0.27,0.24,0.49
33,83,5,0,82860.0,0.9707810687079151,0.019744878156716612,0.58,0.19,0.23
34,99,7,0,108780.0,0.997355357209039,0.019451877253324246,0.15,0.62,0.23
35,21,7,0,76020.0,0.8254279158430762,0.017570335106550972,0.46,0.12,0.42
36,86,7,0,103320.0,0.9916574716946247,0.019207660993924496,0.21,0.47,0.32
37,90,5,0,85800.0,0.9794505393732691,0.019898317840844403,0.39,0.41,0.2
38,61,11,0,131220.0,0.9847680203330211,0.018105030828004513,0.12,0.25,0.63
39,94,5,0,87480.0,0.9832759234055337,0.019982019472996607,0.31,0.37,0.32
40,22,7,0,76440.0,0.8290982847461701,0.017602539568197753,0.52,0.14,0.34
41,91,6,0,95820.0,0.9895856871948376,0.01957786212728044,0.26,0.49,0.25
42,82,5,0,82440.0,0.969292156513759,0.019722197229618668,0.35,0.28,0.37
43,94,7,0,106680.0,0.995706416117081,0.019360437615670363,0.17,0.56,0.27
44,61,8,0,102420.0,0.9664327388757232,0.018487713220896634,0.23,0.2,0.57
45,88,5,0,84960.0,0.9772127439672186,0.01985540500809737,0.4,0.34,0.26
46,109,5,0,93780.0,0.9933969876314982,0.020272735177317446,0.28,0.58,0.14
47,40,7,0,84000.0,0.8924918240873946,0.018137776307764513,0.37,0.16,0.47
48,78,8,0,109560.0,0.9902051638619581,0.018837070467569782,0.19,0.39,0.42
49,70,6,0,87000.0,0.962329804000427,0.019121381304685638,0.49,0.24,0.27
50,99,5,0,89580.0,0.9873579759297325,0.0200828409952412,0.32,0.45,0.23
