id,solar_panels,wind_turbines,batteries,cost,reliability,environmental_impact,w_cost,w_reliability,w_impact
0,51,6,0,79020.0,0.910141945783819,0.018636274876257096,1.0,0.0,0.0
1,175,16,2,232940.0,1.0,0.019437046561755912,0.0,1.0,0.0
2,6,33,0,319320.0,0.9732041728394966,0.01687205073680644,0.0,0.0,1.0
3,111,4,0,85020.0,0.9843812018730513,0.020759478055330044,0.52,0.33,0.15
4,94,6,0,97080.0,0.991477179413127,0.019637322459882922,0.28,0.48,0.24
5,94,8,0,116280.0,0.9974830018788361,0.019133146031372218,0.12,0.67,0.21
6,22,7,0,76440.0,0.8290982847461701,0.017602539568197753,0.4,0.12,0.48
7,88,7,0,104160.0,0.9928816759212971,0.019246629830995142,0.19,0.52,0.29
8,82,5,0,82440.0,0.969292156513759,0.019722197229618668,0.33,0.38,0.29
9,123,4,0,90060.0,0.9910331460501512,0.02096855215087509,0.26,0.61,0.13
10,69,10,0,124980.0,0.9897422810128352,0.018359236403414424,0.14,0.29,0.57
11,73,6,0,88260.0,0.9680934484953142,0.019191266957140064,0.36,0.23,0.41
12,7,8,0,79740.0,0.7948740489651619,0.017055747943172456,0.47,0.11,0.42
13,102,7,0,110040.0,0.9980269061107191,0.019505324365592738,0.09,0.74,0.17
14,88,5,0,84960.0,0.9772127439672186,0.01985540500809737,0.41,0.32,0.27
15,99,5,0,89580.0,0.9873579759297325,0.0200828409952412,0.38,0.48,0.14
16,3,8,0,78060.0,0.7800119540450228,0.016924096481631786,0.22,0.13,0.65
17,78,6,0,90360.0,0.9763460199515804,0.019304105012740727,0.55,0.26,0.19
18,104,5,0,91680.0,0.9908210006159394,0.020179668661820267,0.31,0.54,0.15
19,85,5,0,83700.0,0.9735081831709682,0.019789657057505714,0.44,0.36,0.2
20,82,8,0,111240.0,0.9930177923406328,0.018913869354004017,0.18,0.44,0.38
21,84,5,0,83280.0,0.9721947253444672,0.01976736393002673,0.61,0.29,0.1
22,62,7,0,93240.0,0.9576462574054685,0.018694973953133374,0.25,0.18,0.57
23,80,9,1,122920.0,0.9976682817751537,0.019093920824567658,0.13,0.53,0.34
24,88,6,0,94560.0,0.9874429641444061,0.019517061238784644,0.29,0.4,0.31
25,54,6,0,80280.0,0.9197250773748811,0.01871815013786265,0.36,0.19,0.45
26,103,6,0,100860.0,0.9958925689151993,0.01980808928348935,0.24,0.63,0.13
27,24,7,0,77280.0,0.8363881067267114,0.017666114964342016,0.3,0.15,0.55
28,89,5,0,85380.0,0.9783468606761673,0.01987695178950571,0.48,0.39,0.13
29,75,8,0,108300.0,0.9876964436289634,0.01877818110838373,0.2,0.35,0.45
30,82,5,0,82440.0,0.969292156513759,0.019722197229618668,0.42,0.21,0.37
31,89,6,0,94980.0,0.9882092621922989,0.019537479940253174,0.34,0.5,0.16
32,70,7,0,96600.0,0.9739436121108684,0.018875711792073833,0.27,0.24,0.49
33,53,7,0,89460.0,0.9336083446544649,0.018478390932396827,0.58,0.19,0.23
34,87,8,0,113340.0,0.9955695635020986,0.019007205496392992,0.15,0.62,0.23
35,4,8,0,78480.0,0.783762609331152,0.016957418191444255,0.46,0.12,0.42
36,100,6,1,102520.0,0.9980767519314322,0.020243960257500172,0.21,0.47,0.32
37,98,5,0,89160.0,0.9865711843009883,0.020063003978171238,0.39,0.41,0.2
38,60,11,0,130800.0,0.9834423019655808,0.01808726832745597,0.12,0.25,0.63
39,85,6,0,93300.0,0.9846988812526618,0.019454873942504936,0.31,0.37,0.32
40,22,7,0,76440.0,0.8290982847461701,0.017602539568197753,0.52,0.14,0.34
41,86,6,0,93720.0,0.9856748950583152,0.0194757600026642,0.26,0.49,0.25
42,89,5,0,85380.0,0.9783468606761673,0.01987695178950571,0.35,0.28,0.37
43,91,7,0,105420.0,0.9944093137423395,0.01930410501274073,0.17,0.56,0.27
44,63,8,0,103260.0,0.970425955113828,0.0185308656521667,0.23,0.2,0.57
45,82,5,0,82440.0,0.969292156513759,0.019722197229618668,0.4,0.34,0.26
46,108,5,0,93360.0,0.9929621815519615,0.020254412206282237,0.28,0.58,0.14
47,32,7,0,80640.0,0.8650129047120017,0.01790981261742715,0.37,0.16,0.47
48,70,9,0,115800.0,0.9872463619531824,0.018514152582069617,0.19,0.39,0.42
49,101,5,0,90420.0,0.9888362211223317,0.02012203787515584,0.49,0.24,0.27
50,88,6,0,94560.0,0.9874429641444061,0.019517061238784644,0.32,0.45,0.23
